#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 08 14 07 50 260 10.4 12.3  2.29  5.56  5.52 265 1024.2  10.3  10.3   9.5 99.0 99.00
2018 08 14 08 50 250  9.6 11.4  2.26  6.25  5.64 292 1024.0  10.3  10.3   9.7 99.0 99.00
2018 08 14 09 50 253 11.0 13.2  2.17  5.88  5.43 251 1023.9  10.2  10.3   9.7 99.0 99.00
2018 08 14 10 50 246 10.2 12.0  2.27  6.25  5.61 278 1023.7  10.2  10.3   9.7 99.0 99.00
2018 08 14 11 50 242 10.3 12.6  2.21  6.25  5.57 272 1023.2  10.3  10.3   9.6 99.0 99.00
2018 08 14 12 50 245 10.7 12.6  2.36  6.67  5.81 280 1022.8  10.2  10.3   9.6 99.0 99.00
2018 08 14 13 50 246 10.4 12.1  2.40  8.33  5.80 340 1022.4  10.2  10.3   9.7 99.0 99.00
2018 08 14 14 50 246 10.6 12.7  2.42  6.67  5.78 264 1021.7  10.1  10.3   9.6 99.0 99.00
2018 08 14 15 50 246 10.8 12.8  2.46  6.67  5.71 270 1021.0  10.2  10.3   9.4 99.0 99.00
2018 08 14 16 50 245 10.6 13.3  2.39  6.67  5.76 269 1020.5   9.9  10.3   9.6 99.0 99.00
2018 08 14 17 50 241 10.9 13.4  2.44  7.14  5.67 280 1020.0   9.8  10.3   9.7 99.0 99.00
2018 08 14 18 50 240 11.6 13.9  2.28  7.14  5.58 283 1019.4   9.7  10.3   9.7 99.0 99.00
2018 08 14 19 50 251 10.2 12.5  2.62  7.14  5.85 289 1019.1   9.9  10.3   9.9 99.0 99.00
2018 08 14 20 50 255 10.5 13.0  2.47  7.14  5.86 286 1018.6   9.9  10.3   9.4 99.0 99.00
2018 08 14 21 50 251  9.1 10.5  2.72  7.69  5.98 281 1018.7   9.8  10.3   9.7 99.0 99.00
2018 08 14 22 50 267  5.1  6.1  2.39  7.69  6.02 281 1018.9   8.8  10.3   7.9 99.0 99.00
2018 08 14 23 50 276  6.8  8.3  2.47  7.69  6.34 264 1018.8   9.8  10.3   8.9 99.0 99.00
2018 08 15 00 50 296  7.6  9.1  2.17  7.69  6.14 293 1018.8  10.0  10.4   8.9 99.0 99.00
2018 08 15 01 50 309  8.6 10.6  2.08  7.69  6.02 275 1019.0   9.9  10.4   8.4 99.0 99.00
2018 08 15 02 50 306  8.5 10.2  2.12  7.69  6.03 278 1019.1   9.9  10.4   7.6 99.0 99.00
2018 08 15 03 50 301  7.2  9.3  2.04  7.69  6.01 288 1019.1   9.9  10.4   8.0 99.0 99.00
2018 08 15 04 50 304  7.7  9.4  2.16  7.69  6.09 300 1019.0   9.8  10.4   8.1 99.0 99.00
2018 08 15 05 50 312  7.9  9.0  2.15  8.33  6.02 332 1019.0   9.8  10.4   7.6 99.0 99.00
2018 08 15 06 50 303  6.8  8.3  2.02  8.33  5.95 330 1019.4   9.5  10.4   8.5 99.0 99.00
2018 08 15 07 50 313  8.4 10.4  2.03  7.69  5.99 303 1019.6   9.5  10.4   8.3 99.0 99.00
2018 08 15 08 50 310  8.6 10.3  1.93  9.09  5.92 337 1019.8   9.4  10.4   8.4 99.0 99.00
2018 08 15 09 50 307  8.1 10.9  1.80  9.09  5.67 328 1019.9   9.1  10.4   8.7 99.0 99.00
2018 08 15 10 50 350  7.2  8.9  1.67  8.33  5.43 321 1020.0   9.5  10.4   6.9 99.0 99.00
2018 08 15 11 50 340  5.6  7.3  1.74  9.09  5.87 336 1020.4   9.4  10.3   5.0 99.0 99.00
2018 08 15 12 50 329  6.8  8.6  1.67  7.14  5.79 283 1020.4   9.6  10.3   5.0 99.0 99.00
2018 08 15 13 50 351  7.1  8.4  1.76  9.09  5.73 344 1020.2   8.6  10.3   6.2 99.0 99.00
2018 08 15 14 50 308  5.7  6.8  1.62  8.33  5.59 339 1020.1   9.2  10.3   6.3 99.0 99.00
2018 08 15 15 50 348  5.8  6.7  1.79  7.69  5.86 320 1020.0   9.0  10.3   5.7 99.0 99.00
2018 08 15 16 50 355  5.6  6.6  1.73  8.33  6.01 338 1020.2   8.4  10.3   7.1 99.0 99.00
2018 08 15 17 50 340  7.6  8.9  1.63  7.69  5.76 328 1020.3   7.9  10.3   7.4 99.0 99.00
