#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 25 10 28 999 99.0 99.0  5.03 16.67  9.62 269 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 10 58 999 99.0 99.0  5.62 15.38  9.97 259 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 11 28 999 99.0 99.0  5.73 14.29 10.39 247 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 11 58 999 99.0 99.0  6.55 16.67 10.99 256 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 12 28 999 99.0 99.0  6.80 15.38 11.22 252 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 12 58 999 99.0 99.0  7.13 15.38 11.86 240 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 13 28 999 99.0 99.0  7.07 15.38 11.92 245 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 13 58 999 99.0 99.0  7.59 16.67 12.27 255 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 14 28 999 99.0 99.0  8.23 16.67 12.67 249 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 14 58 999 99.0 99.0  6.94 15.38 11.63 249 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 15 28 999 99.0 99.0  7.12 16.67 11.62 256 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 15 58 999 99.0 99.0  7.24 16.67 11.63 252 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 16 28 999 99.0 99.0  7.56 16.67 12.01 254 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 16 58 999 99.0 99.0  7.27 16.67 11.77 252 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 17 28 999 99.0 99.0  6.84 15.38 11.48 252 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 17 58 999 99.0 99.0  6.31 16.67 10.97 255 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 18 28 999 99.0 99.0  6.28 15.38 11.03 249 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 18 58 999 99.0 99.0  6.74 16.67 11.19 258 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 19 28 999 99.0 99.0  6.14 15.38 10.44 248 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 19 58 999 99.0 99.0  5.91 14.29 10.70 249 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 20 28 999 99.0 99.0  6.63 15.38 11.65 254 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 25 20 58 999 99.0 99.0  6.02 16.67 10.94 255 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 25 21 28 999 99.0 99.0  5.81 16.67 11.19 261 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 25 21 58 999 99.0 99.0  6.12 15.38 11.19 262 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 25 22 28 999 99.0 99.0  5.89 15.38 11.12 258 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 25 22 58 999 99.0 99.0  5.17 16.67 10.73 256 9999.0 999.0   7.2 999.0 99.0 99.00
2016 01 25 23 28 999 99.0 99.0  5.61 15.38 10.86 264 9999.0 999.0   7.2 999.0 99.0 99.00
